rank,year,title,keyword,author.no,affl.no,max_dist(m)
378,2014,Animating the Carbon Cycle,Animal management for carbon storage; Animal mediation of carbon cycling; Animal multiplier effects; Biogeochemical cycling; Regional carbon budgets,15,12,16887025.8971105
379,2017,"Dynamics of canopy stomatal conductance, transpiration, and evaporation in a temperate deciduous forest, validated by carbonyl sulfide uptake",NA,8,3,16876690.8463962
380,2016,Ecosystem services returned through seagrass restoration,carbon sequestration; denitrification; ecosystem functions; eelgrass; Zostera marina,4,4,16871878.0491469
381,2009,"Soil, plant, and transport influences on methane in a subalpine forest under high ultraviolet irradiance",NA,6,6,16862283.2221756
382,2012,The effect of experimental warming and precipitation change on proteolytic enzyme activity: positive feedbacks to nitrogen availability are not universal,Global change; Organic nitrogen; Proteolytic enzymes; Soil nitrogen cycle; Soil organic-matter decomposition,13,10,16860217.8825057
383,2010,Communities contain closely related species during ecosystem disturbance,Biodiversity; Disturbance ecology; Environmental filtering; Extinction prediction; PH; Phylogenetic community structure; Phylogenetic comparative methods; Phylogenetic signal; Whole-lake experiment; Zooplankton,6,7,16858324.4092832
384,2010,Environmental stability and lake zooplankton diversity - contrasting effects of chemical and thermal variability,Diversity; Environmental variability; Global change; Stability; Storage effects,10,11,16858324.4092832
385,2009,"Polymorphic microsatellite markers for the striped skunk, Mephitis mephitis, and other mephitids",Hog-nosed skunk; Hooded skunk; Mephitis mephitis; Microsatellite primers; Spotted skunk; Striped skunk,6,7,16853625.0294691
386,2016,Deconstructing the relationships between phylogenetic diversity and ecology: a case study on ecosystem functioning,Complementarity; Ecosystem function; Key innovations; Phylogenetic diversity; Productivity; Sampling effect,5,6,16852220.5356868
387,2003,Grassland to Woodland Transitions: Integrating Changes in Landscape Structure and Biogeochemistry,Biogeochemistry; Carbon sequestration; Ecosystem models; Grazing; Land use; Landscape carbon accumulation; Prosopis glandulosa; Savannas; Thorn woodlands; Transition matrix models; Vegetation change; Woody plant encroachment,5,5,16852135.5105988
388,1990,Response of alpine tundra to a changing climate: a hierarchical simulation model,NA,2,2,16852135.5105988
389,2000,Vulnerability of Fremont Cottonwood (Populus fremontii wats.) Individuals to Xylem Cavitation,Cavitation; Drought stress; Embolism; Plant water potential; Populus fremontii,3,6,16841144.8608201
390,2016,Growth dynamics of a laminated microbial mat in response to variable irradiance in an Antarctic lake,16S rRNA gene; Benthic; Cyanobacteria; Environmental change; Lake Fryxell,4,4,16840268.7653447
391,2013,"Biodiversity simultaneously enhances the production and stability of community biomass, but the effects are independent",Biodiversity; Community biomass; Ecosystem functioning; Ecosystem stability; Productivity; Species richness,10,10,16837190.3631386
392,2018,Herbivores safeguard plant diversity by reducing variability in dominance,biomass; Chamaecrista fasciculata; determinants of plant community diversity and structure; light; nutrient network; plant–herbivore interactions; plant–plant interactions,13,13,16835284.7247243
393,2000,Sources and yields of dissolved carbon in northern Wisconsin stream catchments with differing amounts of peatland,Carbon cycle; Dissolved inorganic carbon; Dissolved organic carbon; Hydrology; Peatlands; Watershed yields; Wisconsin,4,3,16823856.135854
394,2005,Environmental and genetic influences on the germination of Arabidopsis thaliana in the field,Dormancy; Life history; Maternal effects; Phenotypic plasticity; Pleiotropy; Seasonal cues,7,5,16814464.6623184
395,2005,The evolutionary ecology of seed germination of Arabidopsis thaliana: Variable natural selection on germination timing,Dormancy; Maternal effects; Natural selection; Phenotypic plasticity; Seasonal cues,7,5,16814464.6623184
396,2006,Composition and potential grazing impact of salp assemblages off Baja California during the 1997-1999 El Niño and La Niña,Baja California; California Current; El Niño; Grazing impact; La Niña; Salps,4,2,16810901.5437757
397,2003,"Effects of burning on snakes in Kansas, USA, tallgrass prairie",Prairie burning; Prescribed fire; Snakes; Tallgrass prairie,2,5,16778023.2836973
398,2005,Ecological consequences of C4 grass invasion of a C4 grassland: A dilemma for management,"Andropogon bladhii; Andropogon gerardii; Big bluestem; C4 grasses; Caucasian bluestem; Grassland management; Konza Prairie Biological Station (Kansas, USA); Species invasion; Tallgrass prairie",3,3,16776502.6376758
399,2018,Joint species distribution modelling for spatio-temporal occurrence and ordinal abundance data,biotic interactions; coregionalization; invasive species; Markov chain Monte Carlo; rank probability scores; vector autoregression,7,6,16775723.2707361
400,2009,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,NA,4,5,16773916.5737315
401,2016,Experimental whole-lake increase of dissolved organic carbon concentration produces unexpected increase in crustacean zooplankton density,cyclopoid copepods; Daphnia; dissolved organic carbon; ecosystem manipulation; north temperate lakes; resource stoichiometry; zooplankton,6,3,16769138.1713647
402,2018,Variation in Detrital Resource Stoichiometry Signals Differential Carbon to Nutrient Limitation for Stream Consumers Across Biomes,benthic organic matter; elemental ratios; lotic aquatic ecosystem; macroinvertebrate; nitrogen; phosphorus; threshold elemental ratio,10,9,16763888.7392093
403,1997,Influence of protozoa and nutrient availability on nitrification rates in subsurface sediments,NA,2,2,16763888.7392093
404,2002,Comparisons of nitrification and denitrification in prairie and agriculturally influenced streams,"Ammonium; Denitrification; Konza Prairie Biological Station, Kansas; N loading; Nitrate; Nitrification; Prairie streams",2,2,16763888.7392093
405,2011,"Population genetic structure and landscape connectivity of the Eastern Yellowbelly Racer (Coluber constrictor flaviventris) in the contiguous tallgrass prairie of northeastern Kansas, USA",Autocorrelation; Conservation; Dispersal; Fragmentation; Gene flow; Grassland; Isolation-by-distance; Landscape genetics; Microsatellites; Snake,3,2,16763888.7392093
406,2013,Woody vegetation removal stimulates riparian and benthic denitrification in tallgrass prairie,denitrification; nitrogen removal; prairie streams; riparian vegetation; tallgrass prairie; woody encroachment,4,3,16763888.7392093
407,2015,"Timing is everything: temporal variation in floral scent, and its connections to pollinator behavior and female reproductive success in Phlox divaricata",NA,4,4,16763888.7392093
408,2016,Baseflow physical characteristics differ at multiple spatial scales in stream networks across diverse biomes,Boreal forest; Geomorphology; Grasslands; Nested ANOVA; Scaling; Temperate forest,18,10,16763888.7392093
409,2006,Ruffed grouse population dynamics in the central and southern Appalachians,Brood; Elasticity; Fecundity; Life stage analysis; Sensitivity; Survival,12,12,16751547.6116691
410,2004,A classification of landscape fire succession models: spatial simulations of fire and vegetation dynamics,Fire regime; Model evaluation; Model selection; Ordination; Spatial simulation models,9,9,16750909.8427166
411,2015,"Biomass allometry for alder, dwarf birch, and willow in boreal forest and tundra ecosystems of far northeastern Siberia and north-central Alaska",Alnus; Betula; Biometry; Carbon; Salix; Shrub,7,7,16747759.3444282
412,2015,Tropical reforestation and climate change: beyond carbon,Climate-smart; Ecosystem service; Forest; Impact; Livelihood; Resilience; Vulnerability; Water,10,11,16736071.4791472
413,2018,Can we detect ecosystem critical transitions and signals of changing resilience from paleo-ecological records?,aquatic transitions; eutrophication; online dynamic linear model; paleolimnology; regime shifts; resilience indicators; time-varying autoregressions; time-varying autoregressive state-space,7,7,16727746.8858059
414,2015,"Species richness, but not phylogenetic diversity, influences community biomass production and temporal stability in a re-examination of 16 grassland biodiversity studies",Biodiversity; Community biomass; Data synthesis; Ecosystem functioning; Grasslands; Phylogenetic diversity; Relatedness; Stability,12,16,16723041.8933519
415,2017,Spatial early warning signals in a lake manipulation,Algal bloom; Critical transition; Early warning indicators; Ecosystem experiment; Regime shift; Resilience; Spatial analysis,5,3,16715397.7919772
416,2013,Restoration recovers population structure and landscape genetic connectivity in a dispersal‐limited ecosystem,Aquatic plant ecology; Ecological restoration; Eelgrass; Genetic diversity; Landscape genetics; Metapopulation; Microsatellite; Population genetics; Seagrass; Zostera marina,3,2,16706323.9508793
417,2018,Contrasting drivers and trends of coniferous and deciduous tree growth in interior Alaska,Betula neoalaskana; boreal forest; climate change; dendrochronology; Phyllocnistis populiella; Picea glauca; Picea mariana; Populus tremuloides; SPEI,7,4,16701064.4224108
418,2018,Decomposition of Senesced Leaf Litter is Faster in Tall Compared to Low Birch Shrub Tundra,Arctic; Betula; climate warming; deciduous shrubs; deepened snow; litter decomposition; long-term investigation,4,4,16700585.6015935
419,1998,Nonpoint pollution of surface waters with phosphorus and nitrogen,Agriculture; Estuary; Eutrophication; Lake; Nitrogen; Nonpoint pollution; Phosphorus; River; Runoff; Stream,6,6,16697562.4341738
420,2018,The greenhouse gas cost of agricultural intensification with groundwater irrigation in a Midwest US row cropping system,agriculture; carbon; corn; global change; greenhouse gas; groundwater; intensification; irrigation; maize; nitrous oxide; soybean; wheat,4,3,16697562.4341738
421,2018,Drought consistently alters the composition of soil fungal and bacterial communities in grasslands from two continents,drought; enzyme activities; microbial community; rainfall manipulation; soil-borne pathogens,9,5,16688300.5036006
422,2017,Prevalence of multimodal species abundance distributions is linked to spatial and taxonomic breadth,Community structure; diversity patterns; lognormal; logseries; Poisson lognormal mixture; spatial scale; taxonomic breadth,5,3,16687364.7364968
423,2015,Decadal warming causes a consistent and persistent shift from heterotrophic to autotrophic respiration in contrasting permafrost ecosystems,Autotrophic; Carbon; Climate change feedback; Ecosystem respiration; Heterotrophic; Permafrost thaw; Radiocarbon; Warming experiment,7,6,16666149.1533193
